Wavelength (nm),Extinction coefficient
241.763,0.021788260095326476
241.835,0.021659614268015402
241.906,0.02152355544174931
241.978,0.02138185968838767
242.049,0.02124102405689446
242.121,0.02111013944213606
242.192,0.020976254580445296
242.264,0.020843839197940778
242.335,0.020712954481438024
242.407,0.02058331905982435
242.478,0.02045335491487553
242.55,0.020315782349788477
242.621,0.020182284196045012
242.693,0.02005858513015242
242.764,0.01993451825150151
242.836,0.01981196172363194
242.907,0.019690332212056582
242.979,0.01956879996122099
243.05,0.019442129078649444
243.122,0.01931394006400311
243.193,0.019182732539839445
243.264,0.019051157743707196
243.336,0.018917960394913693
243.407,0.018787820378487054
243.479,0.018664672806856082
243.55,0.01854678543944941
243.622,0.018424883702090323
243.693,0.01830517100973416
243.764,0.018185240035305646
243.836,0.018063075202194592
243.907,0.01794321988839594
243.978,0.017823191770352877
244.05,0.017713622638404265
244.121,0.0176018784691298
244.192,0.01748365049003593
244.264,0.017362826763674392
244.335,0.017238277412259504
244.407,0.01711678720620488
244.478,0.01699036423945312
244.549,0.016865408084471713
244.62,0.016741888340109673
244.692,0.016620928548362345
244.763,0.016502743156220575
244.834,0.016387225815657505
244.906,0.01627644621943361
244.977,0.01616848406317688
245.048,0.01605737173210813
245.119,0.01594592946769138
245.191,0.01583592133408327
245.262,0.015729373769409246
245.333,0.015629451961597783
245.405,0.01552845268457825
245.476,0.015428926158256731
245.547,0.015322342117928881
245.618,0.015219840624049531
245.689,0.015117467564337619
245.761,0.01501324161764243
245.832,0.014913252728636356
245.903,0.014810506617250772
245.974,0.014710961107551577
246.045,0.014614247924272168
246.117,0.014523861623130813
246.188,0.01443941602745424
246.259,0.014353589630948432
246.33,0.014274166045029998
246.401,0.014194371614289547
246.473,0.014112897012959856
246.544,0.01403728629186113
246.615,0.013965533500278541
246.686,0.013896363708300963
246.757,0.013826108482765269
246.828,0.013752150390433909
246.899,0.013678042043675414
246.97,0.01360283324214024
247.042,0.01352816396294889
247.113,0.013449098339759786
247.184,0.013368715100771431
247.255,0.013294706255865504
247.326,0.013218949689173396
247.397,0.013145194313394684
247.468,0.013077873408348433
247.539,0.013009900581757645
247.61,0.012939425789438824
247.681,0.012864126863885581
247.752,0.012796296571329791
247.823,0.01272401860358965
247.894,0.012653050243040845
247.965,0.012581657250457809
248.037,0.012504334770736151
248.108,0.012422419421526814
248.179,0.01233708044580796
248.25,0.012247383879645019
248.321,0.012157089602018233
248.392,0.012067458870322694
248.463,0.011979534833784273
248.534,0.01189216464235344
248.605,0.011804841146432779
248.675,0.011722589072396547
248.746,0.011641996587063816
248.817,0.011563170973957555
248.888,0.011489247198258992
248.959,0.01141334718618339
249.03,0.011342631999590012
249.101,0.011276613427374101
249.172,0.011217612643686883
249.243,0.011155338687320413
249.314,0.01109685618644031
249.385,0.011033218278792693
249.456,0.010966434846367357
249.527,0.01090251981120687
249.598,0.010841777995571683
249.669,0.010781584076554267
249.739,0.01072821235571535
249.81,0.01067714748824284
249.881,0.01062148241402399
249.952,0.01055965228405297
250.023,0.010502627563860507
250.094,0.010445752204850953
250.165,0.010385174030095822
250.235,0.010321354095675146
250.306,0.010257017792821241
250.377,0.010189593013686809
250.448,0.010121781470427535
250.519,0.010051859625573195
250.59,0.009979992004839934
250.66,0.009902040188708886
250.731,0.00982178939625636
250.802,0.009737276024149956
250.873,0.009660474910571462
250.944,0.009588102399545134
251.014,0.009520355076096011
251.085,0.00945426497962206
251.156,0.009390728017992553
251.227,0.009324720816645342
251.297,0.009262702711972206
251.368,0.009207270189043002
251.439,0.009160339757005163
251.51,0.009108171613069892
251.58,0.009061026906644534
251.651,0.00901640992718431
251.722,0.00896753991054899
251.792,0.008922402054066882
251.863,0.008880445212898238
251.934,0.00883859227942422
252.005,0.008798488743760682
252.075,0.008753188040778594
252.146,0.008712298101047818
252.217,0.008670378367628608
252.287,0.008632134225262511
252.358,0.008590852080514428
252.429,0.008549412222581798
252.499,0.008503434360020535
252.57,0.008455926639357257
252.641,0.008408873754689012
252.711,0.008364829811793349
252.782,0.008314294117198726
252.852,0.008260901606040167
252.923,0.008205121767000507
252.994,0.008154007223387256
253.064,0.008096788333122495
253.135,0.008035879657376253
253.205,0.00798674066672555
253.276,0.007935357858687408
253.347,0.007883483575486062
253.417,0.007829265440767275
253.488,0.007769496599273075
253.558,0.007712688423829109
253.629,0.007651625095477805
253.699,0.007594560499386754
253.77,0.007537290861863329
253.841,0.007472936933768516
253.911,0.0074067529967589115
253.982,0.007341413591091186
254.052,0.007277640034347754
254.123,0.007212337316972823
254.193,0.007146079202216362
254.264,0.007078160143690967
254.334,0.007016048085978702
254.405,0.006957165079589636
254.475,0.006895129529728026
254.546,0.0068348169185365555
254.616,0.006780570882797345
254.687,0.006722119695902022
254.757,0.006665841836178345
254.827,0.006605175012792607
254.898,0.006548876043025107
254.968,0.006498019676598197
255.039,0.006453114237485203
255.109,0.006408325786533389
255.18,0.006364423695436792
255.25,0.006318768118917521
255.321,0.006280245749603231
255.391,0.006250054989323275
255.461,0.0062201853665124025
255.532,0.00618908328806348
